,survey_id,pack_type,total packs owned,number free,Percent Free,Purchased
621,160,Stuff Packs,2,2,1.0,0
622,161,Expansion Packs,12,0,0.0,12
623,161,Game Packs,7,0,0.0,7
624,161,Kits,2,2,1.0,0
625,161,Stuff Packs,17,1,0.058823529411764705,16
626,162,Expansion Packs,16,0,0.0,16
627,162,Game Packs,12,0,0.0,12
628,162,Kits,33,0,0.0,33
629,162,Stuff Packs,20,1,0.05,19
630,163,Expansion Packs,9,0,0.0,9
631,163,Game Packs,4,0,0.0,4
632,164,Expansion Packs,16,0,0.0,16
633,164,Game Packs,11,0,0.0,11
634,164,Kits,33,2,0.06060606060606061,31
635,164,Stuff Packs,19,0,0.0,19
636,165,Expansion Packs,15,0,0.0,15
637,165,Game Packs,9,0,0.0,9
638,165,Kits,14,0,0.0,14
639,165,Stuff Packs,14,0,0.0,14
640,166,Expansion Packs,12,0,0.0,12
641,166,Game Packs,5,0,0.0,5
642,166,Kits,4,0,0.0,4
643,166,Stuff Packs,11,2,0.18181818181818182,9
